id,domain,robots_content,sitemap_content
81,djn.mju.gov.si,"User-agent: *
Disallow:",""
116,mk.gov.si,"User-Agent: *
Crawl-delay: 10
Allow: /
Disallow: /fileadmin/common/
Disallow: /typo3/
Disallow: /urednik/
Disallow: /typo3conf/
Disallow: /typo3temp/
Disallow: /*?id=*
Disallow: /*type=98*
Disallow: /*&type=100
Disallow: /si/article/14/
Disallow: /*?eID=*

User-agent: sistrix
Disallow: /
",""
133,uem.gov.si,/,/
146,et2005.mddsz.gov.si,"User-agent: *
Disallow: /images/
",""
159,esvetovanje.ess.gov.si,/,/
186,kazalci.arso.gov.si,"#
# robots.txt
#
# This file is to prevent the crawling and indexing of certain parts
# of your site by web crawlers and spiders run by sites like Yahoo!
# and Google. By telling these ""robots"" where not to go on your site,
# you save bandwidth and server resources.
#
# This file will be ignored unless it is at the root of your host:
# Used:    http://example.com/robots.txt
# Ignored: http://example.com/site/robots.txt
#
# For more information about the robots.txt standard, see:
# http://www.robotstxt.org/robotstxt.html

User-agent: *
Crawl-delay: 10
# CSS, JS, Images
Allow: /misc/*.css$
Allow: /misc/*.css?
Allow: /misc/*.js$
Allow: /misc/*.js?
Allow: /misc/*.gif
Allow: /misc/*.jpg
Allow: /misc/*.jpeg
Allow: /misc/*.png
Allow: /modules/*.css$
Allow: /modules/*.css?
Allow: /modules/*.js$
Allow: /modules/*.js?
Allow: /modules/*.gif
Allow: /modules/*.jpg
Allow: /modules/*.jpeg
Allow: /modules/*.png
Allow: /profiles/*.css$
Allow: /profiles/*.css?
Allow: /profiles/*.js$
Allow: /profiles/*.js?
Allow: /profiles/*.gif
Allow: /profiles/*.jpg
Allow: /profiles/*.jpeg
Allow: /profiles/*.png
Allow: /themes/*.css$
Allow: /themes/*.css?
Allow: /themes/*.js$
Allow: /themes/*.js?
Allow: /themes/*.gif
Allow: /themes/*.jpg
Allow: /themes/*.jpeg
Allow: /themes/*.png
# Directories
Disallow: /includes/
Disallow: /misc/
Disallow: /modules/
Disallow: /profiles/
Disallow: /scripts/
Disallow: /themes/
# Files
Disallow: /CHANGELOG.txt
Disallow: /cron.php
Disallow: /INSTALL.mysql.txt
Disallow: /INSTALL.pgsql.txt
Disallow: /INSTALL.sqlite.txt
Disallow: /install.php
Disallow: /INSTALL.txt
Disallow: /LICENSE.txt
Disallow: /MAINTAINERS.txt
Disallow: /update.php
Disallow: /UPGRADE.txt
Disallow: /xmlrpc.php
# Paths (clean URLs)
Disallow: /admin/
Disallow: /comment/reply/
Disallow: /filter/tips/
Disallow: /node/add/
Disallow: /search/
Disallow: /user/register/
Disallow: /user/password/
Disallow: /user/login/
Disallow: /user/logout/
# Paths (no clean URLs)
Disallow: /?q=admin/
Disallow: /?q=comment/reply/
Disallow: /?q=filter/tips/
Disallow: /?q=node/add/
Disallow: /?q=search/
Disallow: /?q=user/password/
Disallow: /?q=user/register/
Disallow: /?q=user/login/
Disallow: /?q=user/logout/
",""
199,si-trust.gov.si,"<!doctype html>

<html class=""no-js"" lang=""sl"">

	<head>
		<base href=""https://www.si-trust.gov.si/""><!--[if lte IE 6]></base><![endif]-->
		<title>SI-TRUST / Državni center za storitve zaupanja</title>
	
		<meta charset=""utf-8"">
		<meta http-equiv=""x-ua-compatible"" content=""ie=edge"">
		<meta name=""viewport"" content=""width=device-width, initial-scale=1"">
		<meta name=""generator"" content=""SilverStripe - http://silverstripe.org"" />
<meta http-equiv=""Content-type"" content=""text/html; charset=utf-8"" />
<meta name=""description"" content=""Kvalificirana digitalna potrdila za posameznike, poslovne subjekte in državne organe, kvalificirani elektronski časovni žigi ter mobilna identiteta. Kvalificirani ponudnik storitev zaupanja SI-TRUST deluje v okviru Ministrstva za javno upravo Republike Slovenije in izdaja digitalna potrdila SIGEN-CA in SIGOV-CA, kvalificirane elektronske časovne žige SI-TSA, mobilno identiteto smsPASS ter skrbi za sistem za sistem za spletno prijavo in e-podpis SI-PASS."" />
<meta name=""keywords"" content=""SI-TRUST, Kvalificirani ponudnik storitev zaupanja, Kvalificirana digitalna potrdila, SIGEN-CA, SIGOV-CA, Mobilna identiteta, smsPASS, SI-PASS, Spletna prijava in e-podpis, Kvalificiran elektronski časovni žig, SI-TSA"">
<link rel=""alternate"" type=""text/html"" title=""Home"" hreflang=""en-US"" href=""https://www.si-trust.gov.si/en/"" />
<link rel=""alternate"" type=""text/html"" title=""Home"" hreflang=""sl-SI"" href=""https://www.si-trust.gov.si/sl/"" />

		
		<link rel=""shortcut icon"" href=""mysite/images/favicon.ico"" />

		
			<link rel=""stylesheet"" type=""text/css"" href=""mysite/css/style.min.css?m=1544442594"" />
		
		
		
		
		<script src=""/mysite/js/libs/jquery-1.11.3.min.js""></script>
		<script src=""/mysite/js/libs/angular-1.4.13.min.js""></script>
		<script src=""/mysite/js/libs/angular-sanitize-1.4.13.min.js""></script>
		
		
		<script src=""/mysite/js/libs/modernizr.min.js""></script>
		
		<script>
			
		</script>
		
		<link rel=""stylesheet"" href=""cookiesdirective/css/iCD.min.css?v=2.014"" />
<script src=""cookiesdirective/js/iCD.min.js?v=2.014""></script>
<script type=""text/javascript"">
<!--
_iCD.init(""%3Cdiv%20id%3D%22_iCD%22%20style%3D%22%22%3E%20%3Cspan%20class%3D%22iCD_close%22%3E%3C%2Fspan%3E%20%3Cdiv%20class%3D%22iCD_wrp%22%3E%20%3Cdiv%20class%3D%22iCD_lf%22%3E%20%3Cdiv%20class%3D%22iCD_inr%22%3E%20%3Cp%3E%20S%20tem%2C%20ko%20uporabljate%20spletno%20mesto%2C%20dovoljujete%20uporabo%20pi%C5%A1kotkov%20v%20skladu%20z%20na%C5%A1o%20%3Ca%20href%3D%27sl%2Fizjava-o-varovanju-osebnih-podatkov%2F%27%3Epolitiko%20varovanja%20zasebnosti%3C%2Fa%3E.%20%3Ca%20href%3D%22%22%20class%3D%22iCD_settings%22%20id%3D%22_iCDoptbtn%22%3ENastavitve%3C%2Fa%3E%20%3C%2Fp%3E%20%3C%2Fdiv%3E%20%3C%2Fdiv%3E%20%3C%2Fdiv%3E%20%3Cdiv%20id%3D%22_iCDoptions%22%3E%20%3Cdiv%20class%3D%22iCD_inner%22%3E%20%3Ch2%3ENastavitve%20za%20uporabo%20pi%C5%A1kotkov%3C%2Fh2%3E%20%3Cp%3EPi%C5%A1kotki%2C%20ki%20jih%20namestimo%20v%20va%C5%A1em%20brskalniku%2C%20anonimno%20zbirajo%20dolo%C4%8Dene%20informacije%20o%20va%C5%A1em%20obisku%20spletnega%20mesta.%20Omogo%C4%8Dajo%20nam%2C%20da%20lahko%20zagotovimo%20delovanje%20vseh%20funkcij%20spletnega%20mesta%2C%20dolo%C4%8Dene%20vsebine%20prilagodimo%20posebej%20za%20vas%20in%20z%20analizo%20obiska%20spletno%20mesto%20stalno%20izbolj%C5%A1ujemo.%3C%2Fp%3E%20%3Cdiv%20class%3D%22iCD_checkbox_holder%22%3E%20%3Cinput%20id%3D%22iCDfunction%22%20type%3D%22checkbox%22%20disabled%20checked%3E%20%3Clabel%20for%3D%22iCDfunction%22%3ENujni%20pi%C5%A1kotki%3C%2Flabel%3E%20%3Cp%3EZahtevani%20pi%C5%A1kotki%20omogo%C4%8Dajo%20osnovne%20funkcije%2C%20kot%20so%20navigacija%20po%20spleti%C5%A1%C4%8Du%20in%20dostop%20do%20posebnih%20delov%20spleti%C5%A1%C4%8Da.%20Spletna%20stran%20brez%20teh%20pi%C5%A1kotkov%20uporabniku%20ne%20zagotavlja%20polnega%20delovanja.%20Sem%20uvr%C5%A1%C4%8Damo%20tudi%20pi%C5%A1kotke%2C%20namenjene%20prilagoditvi%20obna%C5%A1anja%20ali%20izgleda%20spletnega%20mesta%20ob%20naslednjih%20obiskih%2C%20na%20primer%20za%20prikaz%20v%20izbranem%20jeziku.%3C%2Fp%3E%20%3C%2Fdiv%3E%20%3Cdiv%20class%3D%22iCD_checkbox_holder%22%3E%20%3Cbr%3E%3Cinput%20id%3D%22iCDanalytics%22%20type%3D%22checkbox%22%20checked%3E%20%3Clabel%20for%3D%22iCDanalytics%22%3EPi%C5%A1kotki%20za%20spremljanje%20statistike%3C%2Flabel%3E%20%3Cp%3EPi%C5%A1kotki%20za%20statistiko%20anonimno%20zbirajo%20in%20javljajo%20informacije%20lastnikom%20spletnih%20mest.%20S%20tem%20jim%20pomagajo%20razumeti%2C%20kako%20obiskovalci%20uporabljajo%20spletno%20stran%2C%20in%20na%20podlagi%20teh%20informacij%20izbolj%C5%A1ati%20uporabni%C5%A1ko%20izku%C5%A1njo.%3C%2Fp%3E%20%3C%2Fdiv%3E%20%3Cdiv%20class%3D%22iCD_btn_holder%22%3E%20%3Cbutton%20class%3D%22_iCDclose%22%3EZapri%3C%2Fbutton%3E%20%3Cbutton%20id%3D%22_iCDsave%22%3EShrani%3C%2Fbutton%3E%20%3C%2Fdiv%3E%20%3C%2Fdiv%3E%20%3C%2Fdiv%3E%20%3Cdiv%20id%3D%22_iCDSaved%22%3E%20%3Cdiv%20class%3D%22iCD_inner%22%3E%20%3Ch2%3EVa%C5%A1e%20nastavitve%20so%20bile%20shranjene.%3C%2Fh2%3E%20%3Cbutton%20class%3D%22_iCDclose%22%3EZapri%3C%2Fbutton%3E%20%3C%2Fdiv%3E%20%3C%2Fdiv%3E%20%3C%2Fdiv%3E%20"",
{""cookieName"":""_iCD2"",
""cookieExpires"":365,
""path"":""/"",
""defaultUseAnalytics"":true,
""defaultUseMarketing"":false,
""enableAnalytics"":1,
""enableMarketing"":0,
""explainLink"":""sl/izjava-o-varovanju-osebnih-podatkov/"",
""domain"":""""
});
function _iCDWaitingForJ() {
	if (window.jQuery) {
		jQuery(document).ready(function($){
			_iCD.bind($);
			_iCD.show();		
			});
	} else {
		setTimeout(_iCDWaitingForJ, 50);
	}
}
setTimeout(_iCDWaitingForJ, 50);
//-->
</script>
	</head>

	<body class=""HomePage"">
		<main class=""main"" role=""main"">
			<div class=""top-header"">
	<div class=""adapt"">
		
			<img src=""mysite/images/rs.png"">
		
	</div>
</div>


<nav class=""navigation"">
	<div class=""adapt"">
		<button class=""close-main-menu"">
			<span></span>
			<em>Zapri</em>
		</button>

		
	<ul class=""lang-menu"">
		
			<li>
				<!--<a href=""/en/"">EN</a>-->
				<a href=""/en/"">English</a>
			</li>
		
			<li class=""active"">
				<!--<a href=""/sl/"">SL</a>-->
				<a href=""/sl/""></a>
			</li>
		
	</ul>


		<ul>
			
				<li class=""pos-1"">
					<a href=""/sl/digitalna-potrdila/"" title=""Digitalna potrdila""class="""">Digitalna potrdila</a>
				</li>
			
				<li class=""pos-2"">
					<a href=""/sl/si-pass/"" title=""Spletna prijava in e-podpis (SI-PASS)""class="""">SI-PASS z mobilno identiteto</a>
				</li>
			
				<li class=""pos-3"">
					<a href=""/sl/kvalificiran-elektronski-casovni-zig/"" title=""Kvalificiran elektronski časovni žig""class="""">Kvalificiran elektronski časovni žig</a>
				</li>
			
				<li class=""pos-4"">
					<a href=""/sl/storitve-centra/"" title=""Storitve za potrebe namenskih sistemov""class="""">Storitve za potrebe namenskih sistemov</a>
				</li>
			
				<li class=""pos-5"">
					<a href=""/sl/podpora-uporabnikom/"" title=""Podpora uporabnikom""class="""">Podpora uporabnikom</a>
				</li>
			
				<li class=""pos-6"">
					<a href=""/sl/obvestila-in-novice/"" title=""Obvestila in novice""class="""">Obvestila in novice</a>
				</li>
			
				<li class=""pos-7"">
					<a href=""/sl/o-nas/"" title=""O nas""class="""">O nas</a>
				</li>
			
				<li class=""pos-8"">
					<a href=""/sl/kontakti/"" title=""Kontakti""class="""">Kontakti</a>
				</li>
			
				<li class=""pos-9"">
					<a href=""/sl/izjava-o-varovanju-osebnih-podatkov/"" title=""Izjava o varovanju osebnih podatkov""class="""">Izjava o varovanju osebnih podatkov</a>
				</li>
			
		</ul>
	</div>
</nav>


<div class=""header-wrapper"">
	<header class=""header"">
		<div class=""adapt"">


			<h1><a href=""/sl/"" class=""logo"">SI-TRUST / Državni center za storitve zaupanja</a></h1>


			<div class=""header-links"">
				
	<ul class=""lang-menu"">
		
			<li>
				<!--<a href=""/en/"">EN</a>-->
				<a href=""/en/"">English</a>
			</li>
		
			<li class=""active"">
				<!--<a href=""/sl/"">SL</a>-->
				<a href=""/sl/""></a>
			</li>
		
	</ul>


				<button class=""menu-trigger open-main-menu"">
					<span></span>
					<em>Meni</em>
				</button>
			</div>
		</div>
	</header>
</div>

			
			<div class=""heading-with-image"" style=""background-image: url(/assets/header/bg-intro-3-desktop2.jpg);"">
	<div class=""adapt"">
		<div class=""grid"">
			<div class=""col span_1_of_2"">
				<div class=""left"">
					<h1><strong>Digitalna potrdila</strong> in mobilna identiteta</h1>
					<p>Kvalificirana digitalna potrdila za posameznike, poslovne subjekte in državne organe. Kvalificirani ponudnik storitev zaupanja SI-TRUST izdaja digitalna potrdila in deluje v okviru Ministrstva za javno upravo Republike Slovenije.</p>
				</div>
			</div>
			<div class=""col span_1_of_2"">
				<div class=""right grid"">
				
					<div class=""col span_1_of_2"">
						<h3>Digitalna potrdila</h3>
						<ul>
							
								<li><a class=""btn btn-white"" href=""/sl/digitalna-potrdila/fizicne-osebe/"">Fizične osebe</a></li>
							
								<li><a class=""btn btn-white"" href=""/sl/digitalna-potrdila/poslovni-subjekti/"">Poslovni subjekti</a></li>
							
								<li><a class=""btn btn-white"" href=""/sl/digitalna-potrdila/drzavni-organi/"">Državni organi</a></li>
							

							<li><a class=""more-link"" href=""/sl/digitalna-potrdila/"">Več o storitvi</a></li>
						</ul>
					</div>
				
					<div class=""col span_1_of_2"">
						<h3>Mobilna identiteta</h3>
						<ul>
							
								<li><a class=""btn btn-white"" href=""/sl/si-pass/mobilna-identiteta/"">Fizične osebe</a></li>
							

							<li><a class=""more-link"" href=""/sl/si-pass/mobilna-identiteta/"">Več o storitvi</a></li>
						</ul>
					</div>
				
				</div>
			</div>
		</div>
	</div>
	<button class=""scroll-down-btn""></button>
</div>

<div class=""two-column-module after-heading-exposed equal-heights"">
	<div class=""span_1_of_2 col left inner-gray"">
		<div class=""inner-item "">
			<h2>Spletna prijava in e-podpis</h2>
			<div class=""grid"">
				<div class=""col span_1_of_2"">
					<h3>E-podpis</h3>
					<p>Predstavlja podpisnika in prepreči nadaljnje spreminjanje podpisanih podatkov. Lastnoročnemu podpisu enakovreden je kvalificirani elektronski podpis.</p>
				</div>
				<div class=""col span_1_of_2"">
					<h3>Dostop do SI-PASS</h3>
					<p>Enotna storitev za preverjanje identitete državljanov, poslovnih subjektov in javnih uslužbencev.</p>
					<p>
						<a class=""btn btn-orange"" href=""https://sicas.gov.si/bl-user-web/app/dashboard""
						   title=""Uporabniška stran SI-PASS"" target=""_blank"">
							Vstopi
						</a>
					</p>
					<p>
						<a href=""/sl/si-pass/"" class=""more-link"">
							Več o storitvi SI-PASS
						</a>
					</p>
				</div>
			</div>
		</div>
	</div>
	
	<div class=""span_1_of_2 col right inner-green"">
		<div class=""inner-item"">
			<div class=""grid"">
				<h2><a class=""title-link"" href=""/sl/podpora-uporabnikom/"">Podpora uporabnikom</a></h2>
				<div class=""cols"">
					<div class=""col span_1_of_2"">
						<ul>
							<!--<li><a href=""/sl/podpora-uporabnikom/spletna-pomoc/"">Spletna pomoč</a></li>-->
							<li>
								<a href=""/sl/podpora-uporabnikom/pogosta-vprasanja/"">
									Pogosta vprašanja
								</a>
							</li>
							<li>
								<a href=""/sl/podpora-uporabnikom/preklic-digitalnega-potrdila-sigen-ca-in-sigov-ca/"" class=""btn btn-more"">
									Preklic digitalnega potrdila
								</a>
							</li>
						</ul>
					</div>
					<div class=""col span_1_of_2 support-block"">
						<p class=""icon icon-phone"">Tel.: <strong>080 2002</strong><br>(delovniki od 8. do 22. ure)</p>
						<p class=""icon icon-mail"">E-pošta: <a href=""mailto:ekc@gov.si"">ekc@gov.si</a></p>
						<!--<p class=""ekc-support"">-->
							<!--<a href=""mailto:ekc@gov.si"" class=""ekc"">-->
							<i class=""ekc"">
								<span>ekc@gov.si</span>
							</i>
							<!--</a>-->
						<!--</p>-->
					</div>
				</div>
			</div>
		</div>
	</div>
</div>


	<div class=""modules"">
		
			<div class=""GridModule"">
	<div class=""adapt"">
	
	
	

		<div class=""module-grid-2"">
			
				<div class=""module-icon grid-item"">
	<a href=""/sl/kvalificiran-elektronski-casovni-zig/"">
		<img src=""/assets/modules/icon-digitalni-casovni-zig3.png"" alt=""icon digitalni casovni zig3"" />
		<div class=""icon-content"">
			
				<h4>Kvalificiran elektronski časovni žig</h4>
			
			<p><p>Izdajatelj kvalificiranih elektronskih časovnih žigov SI-TSA.</p></p>
		</div>
	</a>
</div>


			
			</div>
	
	</div>
</div>
		
	</div>



	<div class=""module module-news"">
		<div class=""adapt"">
			<div class=""grid"">
				<div class=""col span_1_of_3"">
					<h2>Obvestila in novice</h2>
				</div>
				<div class=""col span_2_of_3"">
					<ul>
						
							<li>
								<time datetime=""2019-03-29"">29. 3. 2019</time>
								<h3><a href=""/sl/obvestila-in-novice/2-marcevsko-srecanje-klubov-ministrstvo-za-javno-upravo/"">2. marčevsko srečanje klubov: Ministrstvo za javno upravo</a></h3>
								
							</li>
						
							<li>
								<time datetime=""2018-08-23"">23. 8. 2018</time>
								<h3><a href=""/sl/obvestila-in-novice/page-0/"">Obvestilo o menjavi digitalnih potrdil izdajatelja časovnega žigosanja SI-TSA </a></h3>
								
							</li>
						
							<li>
								<time datetime=""2018-08-14"">14. 8. 2018</time>
								<h3><a href=""/sl/obvestila-in-novice/najava-nove-politike-delovanja/"">Najava nove politike delovanja  SI-TSA</a></h3>
								
							</li>
						
							<li>
								<time datetime=""2018-05-21"">21. 5. 2018</time>
								<h3><a href=""/sl/obvestila-in-novice/najava-novih-politik-delovanja/"">Najava novih politik delovanja</a></h3>
								
							</li>
						
							<li>
								<time datetime=""2017-10-24"">24. 10. 2017</time>
								<h3><a href=""/sl/obvestila-in-novice/ranljivost-kljucev-rsa-ki-jih-ustvarjajo-nekateri-varnostni-moduli-infineon-cve-2017-15361/"">Ranljivost ključev RSA, ki jih ustvarjajo nekateri varnostni moduli Infineon (CVE-2017-15361)</a></h3>
								
							</li>
						
					</ul>

					<a class=""all-news-link"" href=""/sl/obvestila-in-novice/"">Vsa obvestila</a>
				</div>
			</div>
		</div>
	</div>


 
			
			
<footer class=""footer"" role=""contentinfo"">
	<div class=""adapt inner"">
		<p class=""copyright"">
			&copy; 2019 SI-TRUST / Državni center za storitve zaupanja |

			Produkcija: <a href=""http://www.innovatif.com"" target=""_blank"">Innovatif</a>

			<img class=""iCD_show"" src=""cookiesdirective/img/cookie-icon.svg"" alt=""cookie"">
		</p>



		<p class=""ess"">
			<a href=""http://ec.europa.eu/esf/home.jsp?langId=sl"">
				<span>Evropska Unija - Evropski socialni sklad</span>
			</a>
		</p>

	</div>
</footer>
			
			
		</main>
		
				
	<script type=""text/javascript"" src=""/mysite/js/jquery-cdn-fallback.js?m=1540509276""></script><script type=""text/javascript"" src=""/mysite/js/libs/jquery.equalHeights1337.js?m=1540509276""></script><script type=""text/javascript"" src=""/mysite/js/libs/jquery.fancybox.min.js?m=1540509276""></script><script type=""text/javascript"" src=""/mysite/js/functions.min.js?m=1541592754""></script></body>
	
</html>",""
209,mko.gov.si,"User-Agent: *
Crawl-delay: 10
Allow: /
Disallow: /fileadmin/common/
Disallow: /typo3/
Disallow: /urednik/
Disallow: /typo3conf/
Disallow: /typo3temp/
Disallow: /*?id=*
Disallow: /*type=98*
Disallow: /*&type=100
Disallow: /si/article/14/
Disallow: /*?eID=*

User-agent: sistrix
Disallow: /
",""
210,mzp.gov.si,"User-Agent: *
Crawl-delay: 10
Allow: /
Disallow: /fileadmin/common/
Disallow: /typo3/
Disallow: /urednik/
Disallow: /typo3conf/
Disallow: /typo3temp/
Disallow: /*?id=*
Disallow: /*type=98*
Disallow: /*&type=100
Disallow: /si/article/14/
Disallow: /*?eID=*

User-agent: sistrix
Disallow: /
",""
248,vreme.arso.gov.si,"<!doctype html>
<html>
<head>
  <meta charset=""utf-8"">
  <title>ARSO vreme</title>
  <base href=""/"">
  <meta name=""viewport"" content=""width=device-width, initial-scale=1"">
  <link rel=""icon"" type=""image/x-icon"" href=""favicon.ico"">
  <link rel=""stylesheet"" type=""text/css"" href=""default.css"" />
  <link rel=""stylesheet"" type=""text/css"" href=""slick.css"" />
  <link rel=""stylesheet"" type=""text/css"" href=""slick-theme.css"" />
  <link rel=""stylesheet"" href=""https://cdnjs.cloudflare.com/ajax/libs/openlayers/4.6.5/ol.css"" type=""text/css"">

  <link rel=""apple-touch-icon-precomposed"" sizes=""57x57"" href=""apple-touch-icon-57x57.png"" />
  <link rel=""apple-touch-icon-precomposed"" sizes=""114x114"" href=""apple-touch-icon-114x114.png"" />
  <link rel=""apple-touch-icon-precomposed"" sizes=""72x72"" href=""apple-touch-icon-72x72.png"" />
  <link rel=""apple-touch-icon-precomposed"" sizes=""144x144"" href=""apple-touch-icon-144x144.png"" />
  <link rel=""apple-touch-icon-precomposed"" sizes=""60x60"" href=""apple-touch-icon-60x60.png"" />
  <link rel=""apple-touch-icon-precomposed"" sizes=""120x120"" href=""apple-touch-icon-120x120.png"" />
  <link rel=""apple-touch-icon-precomposed"" sizes=""76x76"" href=""apple-touch-icon-76x76.png"" />
  <link rel=""apple-touch-icon-precomposed"" sizes=""152x152"" href=""apple-touch-icon-152x152.png"" />
  <link rel=""apple-touch-icon-precomposed"" sizes=""180x180"" href=""apple-touch-icon-180x180.png"" />
  <link rel=""apple-touch-icon"" sizes=""57x57"" href=""apple-touch-icon-57x57.png"" />
  <link rel=""apple-touch-icon"" sizes=""114x114"" href=""apple-touch-icon-114x114.png"" />
  <link rel=""apple-touch-icon"" sizes=""72x72"" href=""apple-touch-icon-72x72.png"" />
  <link rel=""apple-touch-icon"" sizes=""144x144"" href=""apple-touch-icon-144x144.png"" />
  <link rel=""apple-touch-icon"" sizes=""60x60"" href=""apple-touch-icon-60x60.png"" />
  <link rel=""apple-touch-icon"" sizes=""120x120"" href=""apple-touch-icon-120x120.png"" />
  <link rel=""apple-touch-icon"" sizes=""76x76"" href=""apple-touch-icon-76x76.png"" />
  <link rel=""apple-touch-icon"" sizes=""152x152"" href=""apple-touch-icon-152x152.png"" />
  <link rel=""apple-touch-icon"" sizes=""180x180"" href=""apple-touch-icon-180x180.png"" />
  <link rel=""icon"" type=""image/png"" href=""favicon-196x196.png"" sizes=""196x196"" />
  <link rel=""icon"" type=""image/png"" href=""favicon-192x192.png"" sizes=""192x192"" />
  <link rel=""icon"" type=""image/png"" href=""favicon-96x96.png"" sizes=""96x96"" />
  <link rel=""icon"" type=""image/png"" href=""favicon-32x32.png"" sizes=""32x32"" />
  <link rel=""icon"" type=""image/png"" href=""favicon-16x16.png"" sizes=""16x16"" />
  <link rel=""icon"" type=""image/png"" href=""favicon-128.png"" sizes=""128x128"" />
  <meta name=""application-name"" content=""&nbsp;""/>
  <meta name=""msapplication-TileColor"" content=""#FFFFFF"" />
  <meta name=""msapplication-TileImage"" content=""mstile-144x144.png"" />
  <meta name=""msapplication-square70x70logo"" content=""mstile-70x70.png"" />
  <meta name=""msapplication-square150x150logo"" content=""mstile-150x150.png"" />
  <meta name=""msapplication-wide310x150logo"" content=""mstile-310x150.png"" />
  <meta name=""msapplication-square310x310logo"" content=""mstile-310x310.png"" />
  <meta name=""mobile-web-app-capable"" content=""yes"">
  <meta name=""apple-mobile-web-app-capable"" content=""yes"">
  <meta name=""apple-mobile-web-app-status-bar-style"" content=""black"">

  <meta property=""og:image"" content=""/static/images/NovoARSOvreme.png"" />
  <meta property=""og:title"" content=""ARSO vreme"" />
  <meta property=""og:description"" content=""Desetdnevna vremenska napoved za priljubljene lokacije."" />

  <link rel=""manifest"" href=""manifest.json"">
<link rel=""stylesheet"" href=""styles.84550edba156c5ae935a.css""></head>
<body>
  <app-root><div class=""loading""><span id=""loading-msg"">Nalagam ...</span><img src=""app/common/images/svg/menu/arso_vreme.svg"" /></div></app-root>
  <script type=""text/javascript"">
    if (document.getElementById(""loading-msg"")) {
      document.getElementById(""loading-msg"").style.display = ""block"";
    }

    (function(i,s,o,g,r,a,m){i['GoogleAnalyticsObject']=r;i[r]=i[r]||function(){
        (i[r].q=i[r].q||[]).push(arguments)},i[r].l=1*new Date();a=s.createElement(o),
      m=s.getElementsByTagName(o)[0];a.async=1;a.src=g;m.parentNode.insertBefore(a,m)
    })(window,document,'script','https://www.google-analytics.com/analytics.js','ga');
  </script>
<script type=""text/javascript"" src=""runtime.a66f828dca56eeb90e02.js""></script><script type=""text/javascript"" src=""polyfills.f4eca9f00f63d1e6b3dd.js""></script><script type=""text/javascript"" src=""main.f8fcabfed062314de821.js""></script></body>
</html>
",""
265,starejsi.gov.si,/,/
